project_id,firm_name_zh,project_name_zh,assigned_city,assigned_province,resolution_class,evidence_type,evidence_url,auditor_decision,corrected_city,corrected_province,audit_notes,auditor,audit_date
2025_2025_excellence_batch_0030,内蒙古金泽伊利乳业有限责任公司,婴幼儿配方奶粉端到端数字化协同智能工厂,Hohhot,Inner Mongolia,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0268,国家能源集团宁夏煤业有限责任公司煤制油分公司,数字化驱动的高效转化煤制油智能工厂,Yinchuan,Ningxia,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed conservatively because the assigned city is explicitly visible in the Chinese firm/project text; registry-derived inference remains non-external.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0030,包头铝业有限公司,高效绿色低碳的电解铝智能工厂,Baotou,Inner Mongolia,rule_based_text_inference,firm_embedded_city_token,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0190,中材锂膜有限公司,高端湿法锂电池隔膜全链协同智能工厂,Changzhou,Jiangsu,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0071,苏州元脑智能科技有限公司,数智融合敏捷柔性的高性能主板智能工厂,Suzhou,Jiangsu,rule_based_text_inference,html_p_tag_rtl_location,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0149,锐捷网络股份有限公司,集成管控的网络设备智能工厂,Fuzhou,Fujian,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0079,江苏优嘉植物保护有限公司,全价值链协同管控植保智能工厂,Nantong,Jiangsu,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0180,华润水泥（田阳）有限公司,工业模型驱动的水泥智能工厂,Baise,Guangxi,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0251,宜宾五粮液股份有限公司,白酒全产业链数字化融合智能工厂,Yibin,Sichuan,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0214,吴忠仪表有限责任公司,高参数控制阀个性化定制智能工厂,Wuzhong,Ningxia,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0122,潍柴动力股份有限公司,数据驱动的高端发动机智能工厂,Weifang,Shandong,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0222,无限极（中国）有限公司,中草药产品全链路数智化智能工厂,Zhongshan,Guangdong,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0155,湖南科伦制药有限公司,AI 驱动的大容量注射液产品智能工厂,Yueyang,Hunan,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0044,牡丹江恒丰纸业股份有限公司,特种纸一体化管控的数字孪生智能工厂,Mudanjiang,Heilongjiang,rule_based_text_inference,firm_embedded_city_token,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0067,江苏鱼跃医疗设备股份有限公司,基于 AI 与物联网的医疗器械智能工厂,Danyang,Jiangsu,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0182,海南金盘智能科技股份有限公司,基于数字孪生的高端干式变压器智能工厂,Haikou,Hainan,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0112,寰宇东方国际集装箱（宁波）有限公司,AI融合数字孪生绿色集装箱智能工厂,Ningbo,Zhejiang,rule_based_text_inference,firm_parenthetical,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0140,洽洽食品股份有限公司,坚果规模化定制智能工厂,Hefei,Anhui,rule_based_text_inference,firm_embedded_city_token,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0023,耀华（秦皇岛）玻璃有限公司,平台驱动的浮法玻璃智能工厂,Qinhuangdao,Hebei,rule_based_text_inference,firm_parenthetical,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0122,卧龙电气驱动集团股份有限公司,超高效BLDC电机全流程智能工厂,Shaoxing,Zhejiang,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0036,大连中远海运川崎船舶工程有限公司,数智融合的船舶精益建造智能工厂,Dalian,Liaoning,rule_based_text_inference,embedded_html_table,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0059,南京钢铁股份有限公司,钢铁个性化定制智能工厂,Nanjing,Jiangsu,rule_based_text_inference,firm_embedded_city_token,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0187,潍柴雷沃智慧农业科技股份有限公司,100-500马力全系列动力换挡拖拉机智能工厂,Weifang,Shandong,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0118,宁波杭州湾吉利汽车部件有限公司,新能源汽车柔性制造智能工厂,Ningbo,Zhejiang,rule_based_text_inference,embedded_html_table,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0073,亚普汽车部件股份有限公司,汽车油箱全球业务协同管控智能工厂,Yangzhou,Jiangsu,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0267,共享装备股份有限公司,高端装备零部件三维铸造智能工厂,Shizuishan,Ningxia,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0120,东阿阿胶股份有限公司,传统工艺数智融合胶类智能工厂,Liaocheng,Shandong,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0274,新疆众和股份有限公司,模型驱动的铝基电子新材料智能工厂,Urumqi,Xinjiang,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed conservatively because the assigned city is explicitly visible in the Chinese firm/project text; registry-derived inference remains non-external.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0192,河南济源钢铁（集团）有限公司,优特钢全生命周期精益管控智能工厂,Jiyuan,Henan,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0121,山东玲珑轮胎股份有限公司,高端轮胎全流程数据驱动智能工厂,Zhaoyuan,Shandong,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0211,兰州兰石集团有限公司,高端能源装备个性化定制智能工厂,Lanzhou,Gansu,rule_based_text_inference,html_p_tag_rtl_location,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0021,敬业钢铁有限公司,全流程AI赋能的钢铁智能工厂,Shijiazhuang,Hebei,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0163,南昌印钞有限公司,印钞全流程全要素精准管控智能工厂,Nanchang,Jiangxi,rule_based_text_inference,embedded_html_table,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0218,广东沃德精密科技股份有限公司,精密零件及自动化装备制造智能工厂,Dongguan,Guangdong,rule_based_text_inference,firm_embedded_city_token,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0031,中国北方稀土（集团）高科技股份有限公司,稀土全流程数智化管控智能工厂,Baotou,Inner Mongolia,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0035,大连亚明汽车部件股份有限公司,数智协同新能源汽车铝合金铸件智能工厂,Dalian,Liaoning,rule_based_text_inference,embedded_html_table,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0117,山东钢铁集团永锋临港有限公司,优特钢全流程柔性智能工厂,Linyi,Shandong,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed conservatively because the assigned city is explicitly visible in the Chinese firm/project text; registry-derived inference remains non-external.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0223,中海石油深海开发有限公司,深海天然气无人化开采智慧气田,Shenzhen,Guangdong,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0152,厦门建霖健康家居股份有限公司,高端厨卫多品种小批量定制智能工厂,Xiamen,Fujian,rule_based_text_inference,embedded_html_table,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0219,中国石油天然气股份有限公司,独山子石化分公司 炼化一体化高效运营智能工厂,Karamay,Xinjiang,rule_based_text_inference,project_branch_city,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0137,劲旅环境科技股份有限公司,垃圾压缩环卫装备制造智能工厂,Hefei,Anhui,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0132,第一拖拉机股份有限公司,新型轮式拖拉机柔性智能工厂,Luoyang,Henan,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0022,唐山钢铁集团有限责任公司,新一代冶金流程钢铁智能工厂,Tangshan,Hebei,rule_based_text_inference,firm_embedded_city_token,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0042,冀东水泥磐石有限责任公司,先进模型驱动的全流程精益管控水泥智能工厂,Jilin,Jilin,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0243,成都硅宝科技股份有限公司,多品种小批量高性能有机硅智能工厂,Chengdu,Sichuan,rule_based_text_inference,embedded_html_table,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0168,浪潮计算机科技有限公司,国产AI服务器全链路协同智能工厂,Jinan,Shandong,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0061,江苏康缘药业股份有限公司,基于 5G+数字孪生的现代中药智能工厂,Lianyungang,Jiangsu,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0253,中国石油化工股份有限公司中原油田普光分公司,安全绿色的高含硫天然气开采智慧气田,Dazhou,Sichuan,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0164,双胞胎（集团）股份有限公司,全产业链数字化肉类食品智能工厂,Nanchang,Jiangxi,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0191,四川长虹电器股份有限公司,基于工业互联网平台的智慧显示终端智能工厂,Mianyang,Sichuan,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0188,重庆长安汽车股份有限公司,多车型共线生产的复合型智能工厂,Chongqing,Chongqing,official_location_exact,miit_location_field,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0184,重庆宗申发动机制造有限公司,高端摩托车发动机个性化定制智能工厂,Chongqing,Chongqing,official_location_exact,miit_location_field,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0060,上海烟草集团有限责任公司,高端卷烟全链柔性智能工厂,Shanghai,Shanghai,official_location_exact,miit_location_field,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0002,北京奔驰汽车有限公司,跨级别跨平台油电混线柔性化制造智能工厂,Beijing,Beijing,official_location_exact,miit_location_field,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0015,天津市特变电工变压器有限公司,一中心多基地高效协同的干式变压器智能工厂,Tianjin,Tianjin,official_location_exact,miit_location_field,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0047,宝山钢铁股份有限公司,电工钢全业务要素协同智能工厂,Shanghai,Shanghai,official_location_exact,miit_location_field,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0052,上海无线电设备研究所,航天精密无线电设备混流制造智能工厂,Shanghai,Shanghai,official_location_exact,miit_location_field,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0007,北京无线电测量研究所,数据驱动的高端复杂航天装备全域协同智能工厂,Beijing,Beijing,official_location_exact,miit_location_field,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0049,江南造船（集团）有限责任公司,数字化研发生产协同的船舶建造智能工厂,Shanghai,Shanghai,official_location_exact,miit_location_field,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0051,上海航天设备制造总厂有限公司,数实融合的航天器复杂构件智能工厂,Shanghai,Shanghai,official_location_exact,miit_location_field,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0189,重庆登康口腔护理用品股份有限公司,端到端协同的柔性化口腔护理产品智能工厂,Chongqing,Chongqing,official_location_exact,miit_location_field,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0242,英业达（重庆）有限公司,笔记本电脑个性化定制柔性制造智能工厂,Chongqing,Chongqing,official_location_exact,miit_location_field,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0047,晟碟半导体（上海）有限公司,AI赋能的半导体封装测试智能工厂,Shanghai,Shanghai,official_location_exact,miit_location_field,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0229,宁波金田铜业（集团）股份有限公司,基于 AI+大数据的精密铜合金新材料智能工厂,Ningbo,Zhejiang,official_location_exact,miit_location_field,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0228,华峰重庆氨纶有限公司,全流程全环节多场景数智协同氨纶智能工厂,Chongqing,Chongqing,official_location_exact,miit_location_field,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0222,青岛海信日立空调系统有限公司,基于物联网的多联机空调智能工厂,Qingdao,Shandong,official_location_exact,miit_location_field,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0235,欣旺达电子股份有限公司,锂电池全价值链协同绿色智能工厂,Shenzhen,Guangdong,official_location_exact,miit_location_field,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0007,北京首钢冷轧薄板有限公司,高端汽车板全业务精细协同管控智能工厂,Beijing,Beijing,official_location_exact,miit_location_field,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0226,海克斯康制造智能技术（青岛）有限公司,基于数字孪生的精密检测装备智能工厂,Qingdao,Shandong,official_location_exact,miit_location_field,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0059,上海天马微电子有限公司,TFT-LCD液晶显示器柔性协同制造智能工厂,Shanghai,Shanghai,official_location_exact,miit_location_field,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed from official/list location field used by the parser; not external verification beyond the list source.,conservative_audit_workflow,2026-05-22
