申请号,申请年份,公开公告年份,授权公告年份,申请人,申请人类型,申请人地址,申请人国家,申请人省份,申请人城市,申请人区县,专利名称,专利类型,IPC分类号,IPC主分类号,摘要文本
CN201500000001,2015,2015,2015,Beijing智造科技有限公司,2,BeijingBeijing高新区,CN,Beijing,Beijing,,2015年工业机器人焊接产线控制,发明,B25J9/16,B25J9/16,本发明涉及工业机器人焊接产线控制，用于智能制造场景。
CN201500000002,2015,2015,2015,Shanghai智造科技有限公司,2,ShanghaiShanghai高新区,CN,Shanghai,Shanghai,,2015年预测性维护设备健康管理平台,发明,G05B19/418,G05B19/418,本发明涉及预测性维护设备健康管理平台，用于智能制造场景。
CN201500000003,2015,2015,2015,Shenzhen智造科技有限公司,2,GuangdongShenzhen高新区,CN,Guangdong,Shenzhen,,2015年数字孪生生产线仿真优化,发明,G06F30/20,G06F30/20,本发明涉及数字孪生生产线仿真优化，用于智能制造场景。
CN201500000004,2015,2015,2015,Hangzhou智造科技有限公司,2,ZhejiangHangzhou高新区,CN,Zhejiang,Hangzhou,,2015年智能质检良率分析系统,发明,G01N21/88,G01N21/88,本发明涉及智能质检良率分析系统，用于智能制造场景。
CN201500000005,2015,2015,2015,Suzhou智造科技有限公司,2,JiangsuSuzhou高新区,CN,Jiangsu,Suzhou,,2015年智能排产调度优化方法,发明,G06Q10/06,G06Q10/06,本发明涉及智能排产调度优化方法，用于智能制造场景。
CN201500000006,2015,2015,2015,Nanjing智造科技有限公司,2,JiangsuNanjing高新区,CN,Jiangsu,Nanjing,,2015年化工过程参数闭环控制,发明,G05D1/02,G05D1/02,本发明涉及化工过程参数闭环控制，用于智能制造场景。
CN201500000007,2015,2015,2015,Wuhan智造科技有限公司,2,HubeiWuhan高新区,CN,Hubei,Wuhan,,2015年智能仓储路径优化系统,发明,G06Q10/08,G06Q10/08,本发明涉及智能仓储路径优化系统，用于智能制造场景。
CN201500000008,2015,2015,2015,Chengdu智造科技有限公司,2,SichuanChengdu高新区,CN,Sichuan,Chengdu,,2015年工业互联网MES平台,发明,G06F8/30,G06F8/30,本发明涉及工业互联网MES平台，用于智能制造场景。
CN201500000009,2015,2015,2015,Chongqing智造科技有限公司,2,ChongqingChongqing高新区,CN,Chongqing,Chongqing,,2015年半导体晶圆量测方法,发明,H01L21/672,H01L21/672,本发明涉及半导体晶圆量测方法，用于智能制造场景。
CN201500000010,2015,2015,2015,Xi'an智造科技有限公司,2,ShaanxiXi'an高新区,CN,Shaanxi,Xi'an,,2015年锂电池极片缺陷检测,发明,H01M10/058,H01M10/058,本发明涉及锂电池极片缺陷检测，用于智能制造场景。
CN201500000011,2015,2015,2015,Hefei智造科技有限公司,2,AnhuiHefei高新区,CN,Anhui,Hefei,,2015年反应釜工艺参数优化,发明,C07C1/00,C07C1/00,本发明涉及反应釜工艺参数优化，用于智能制造场景。
CN201500000012,2015,2015,2015,Jinan智造科技有限公司,2,ShandongJinan高新区,CN,Shandong,Jinan,,2015年汽车整车机器视觉检测平台,发明,B60W30/00,B60W30/00,本发明涉及汽车整车机器视觉检测平台，用于智能制造场景。
CN201500000013,2015,2015,2015,Qingdao智造科技有限公司,2,ShandongQingdao高新区,CN,Shandong,Qingdao,,2015年船舶数字孪生智能制造系统,发明,B63B65/00,B63B65/00,本发明涉及船舶数字孪生智能制造系统，用于智能制造场景。
CN201500000014,2015,2015,2015,Ningbo智造科技有限公司,2,ZhejiangNingbo高新区,CN,Zhejiang,Ningbo,,2015年制药智能质检包装线,发明,A61J1/00,A61J1/00,本发明涉及制药智能质检包装线，用于智能制造场景。
CN201500000015,2015,2015,2015,Wuxi智造科技有限公司,2,JiangsuWuxi高新区,CN,Jiangsu,Wuxi,,2015年钢铁冶炼过程控制优化,发明,C21B7/00,C21B7/00,本发明涉及钢铁冶炼过程控制优化，用于智能制造场景。
CN201500000016,2015,2015,2015,Changsha智造科技有限公司,2,HunanChangsha高新区,CN,Hunan,Changsha,,2015年纺织智能排产调度系统,发明,D03D47/00,D03D47/00,本发明涉及纺织智能排产调度系统，用于智能制造场景。
CN201500000017,2015,2015,2015,Zhengzhou智造科技有限公司,2,HenanZhengzhou高新区,CN,Henan,Zhengzhou,,2015年食品灌装机器视觉检测,发明,A23L5/00,A23L5/00,本发明涉及食品灌装机器视觉检测，用于智能制造场景。
CN201500000018,2015,2015,2015,Fuzhou智造科技有限公司,2,FujianFuzhou高新区,CN,Fujian,Fuzhou,,2015年光伏组件机器视觉检测,发明,H02S50/00,H02S50/00,本发明涉及光伏组件机器视觉检测，用于智能制造场景。
CN201500000019,2015,2015,2015,Xiamen智造科技有限公司,2,FujianXiamen高新区,CN,Fujian,Xiamen,,2015年包装机械工业机器人控制,发明,B65B57/20,B65B57/20,本发明涉及包装机械工业机器人控制，用于智能制造场景。
CN201500000020,2015,2015,2015,Kunming智造科技有限公司,2,YunnanKunming高新区,CN,Yunnan,Kunming,,2015年电机预测性维护平台,发明,H02K11/00,H02K11/00,本发明涉及电机预测性维护平台，用于智能制造场景。
CN201500000021,2015,2015,2015,Guiyang智造科技有限公司,2,GuizhouGuiyang高新区,CN,Guizhou,Guiyang,,2015年工程机械智能排产系统,发明,F15B11/00,F15B11/00,本发明涉及工程机械智能排产系统，用于智能制造场景。
CN201500000022,2015,2015,2015,Nanchang智造科技有限公司,2,JiangxiNanchang高新区,CN,Jiangxi,Nanchang,,2015年机器视觉缺陷检测系统,发明,H01L21/66,H01L21/66,本发明涉及机器视觉缺陷检测系统，用于智能制造场景。
CN201500000023,2015,2015,2015,Shijiazhuang智造科技有限公司,2,HebeiShijiazhuang高新区,CN,Hebei,Shijiazhuang,,2015年工业机器人焊接产线控制,发明,B25J9/16,B25J9/16,本发明涉及工业机器人焊接产线控制，用于智能制造场景。
CN201500000024,2015,2015,2015,Taiyuan智造科技有限公司,2,ShanxiTaiyuan高新区,CN,Shanxi,Taiyuan,,2015年预测性维护设备健康管理平台,发明,G05B19/418,G05B19/418,本发明涉及预测性维护设备健康管理平台，用于智能制造场景。
CN201500000025,2015,2015,2015,Hohhot智造科技有限公司,2,Inner MongoliaHohhot高新区,CN,Inner Mongolia,Hohhot,,2015年数字孪生生产线仿真优化,发明,G06F30/20,G06F30/20,本发明涉及数字孪生生产线仿真优化，用于智能制造场景。
CN201500000026,2015,2015,2015,Harbin智造科技有限公司,2,HeilongjiangHarbin高新区,CN,Heilongjiang,Harbin,,2015年智能质检良率分析系统,发明,G01N21/88,G01N21/88,本发明涉及智能质检良率分析系统，用于智能制造场景。
CN201500000027,2015,2015,2015,Changchun智造科技有限公司,2,JilinChangchun高新区,CN,Jilin,Changchun,,2015年智能排产调度优化方法,发明,G06Q10/06,G06Q10/06,本发明涉及智能排产调度优化方法，用于智能制造场景。
CN201500000028,2015,2015,2015,Dalian智造科技有限公司,2,LiaoningDalian高新区,CN,Liaoning,Dalian,,2015年化工过程参数闭环控制,发明,G05D1/02,G05D1/02,本发明涉及化工过程参数闭环控制，用于智能制造场景。
CN201500000029,2015,2015,2015,Shenyang智造科技有限公司,2,LiaoningShenyang高新区,CN,Liaoning,Shenyang,,2015年智能仓储路径优化系统,发明,G06Q10/08,G06Q10/08,本发明涉及智能仓储路径优化系统，用于智能制造场景。
CN201500000030,2015,2015,2015,Tianjin智造科技有限公司,2,TianjinTianjin高新区,CN,Tianjin,Tianjin,,2015年工业互联网MES平台,发明,G06F8/30,G06F8/30,本发明涉及工业互联网MES平台，用于智能制造场景。
CN201500000031,2015,2015,2015,Guangzhou智造科技有限公司,2,GuangdongGuangzhou高新区,CN,Guangdong,Guangzhou,,2015年半导体晶圆量测方法,发明,H01L21/672,H01L21/672,本发明涉及半导体晶圆量测方法，用于智能制造场景。
CN201500000032,2015,2015,2015,Dongguan智造科技有限公司,2,GuangdongDongguan高新区,CN,Guangdong,Dongguan,,2015年锂电池极片缺陷检测,发明,H01M10/058,H01M10/058,本发明涉及锂电池极片缺陷检测，用于智能制造场景。
CN201500000033,2015,2015,2015,Foshan智造科技有限公司,2,GuangdongFoshan高新区,CN,Guangdong,Foshan,,2015年反应釜工艺参数优化,发明,C07C1/00,C07C1/00,本发明涉及反应釜工艺参数优化，用于智能制造场景。
CN201500000034,2015,2015,2015,Zhuhai智造科技有限公司,2,GuangdongZhuhai高新区,CN,Guangdong,Zhuhai,,2015年汽车整车机器视觉检测平台,发明,B60W30/00,B60W30/00,本发明涉及汽车整车机器视觉检测平台，用于智能制造场景。
CN201500000035,2015,2015,2015,Wenzhou智造科技有限公司,2,ZhejiangWenzhou高新区,CN,Zhejiang,Wenzhou,,2015年船舶数字孪生智能制造系统,发明,B63B65/00,B63B65/00,本发明涉及船舶数字孪生智能制造系统，用于智能制造场景。
CN201500000036,2015,2015,2015,Jiaxing智造科技有限公司,2,ZhejiangJiaxing高新区,CN,Zhejiang,Jiaxing,,2015年制药智能质检包装线,发明,A61J1/00,A61J1/00,本发明涉及制药智能质检包装线，用于智能制造场景。
CN201500000037,2015,2015,2015,Shaoxing智造科技有限公司,2,ZhejiangShaoxing高新区,CN,Zhejiang,Shaoxing,,2015年钢铁冶炼过程控制优化,发明,C21B7/00,C21B7/00,本发明涉及钢铁冶炼过程控制优化，用于智能制造场景。
CN201500000038,2015,2015,2015,Yantai智造科技有限公司,2,ShandongYantai高新区,CN,Shandong,Yantai,,2015年纺织智能排产调度系统,发明,D03D47/00,D03D47/00,本发明涉及纺织智能排产调度系统，用于智能制造场景。
CN201500000039,2015,2015,2015,Weifang智造科技有限公司,2,ShandongWeifang高新区,CN,Shandong,Weifang,,2015年食品灌装机器视觉检测,发明,A23L5/00,A23L5/00,本发明涉及食品灌装机器视觉检测，用于智能制造场景。
CN201500000040,2015,2015,2015,Zibo智造科技有限公司,2,ShandongZibo高新区,CN,Shandong,Zibo,,2015年光伏组件机器视觉检测,发明,H02S50/00,H02S50/00,本发明涉及光伏组件机器视觉检测，用于智能制造场景。
CN201500000041,2015,2015,2015,Luoyang智造科技有限公司,2,HenanLuoyang高新区,CN,Henan,Luoyang,,2015年包装机械工业机器人控制,发明,B65B57/20,B65B57/20,本发明涉及包装机械工业机器人控制，用于智能制造场景。
CN201500000042,2015,2015,2015,Xuzhou智造科技有限公司,2,JiangsuXuzhou高新区,CN,Jiangsu,Xuzhou,,2015年电机预测性维护平台,发明,H02K11/00,H02K11/00,本发明涉及电机预测性维护平台，用于智能制造场景。
CN201500000043,2015,2015,2015,Nantong智造科技有限公司,2,JiangsuNantong高新区,CN,Jiangsu,Nantong,,2015年工程机械智能排产系统,发明,F15B11/00,F15B11/00,本发明涉及工程机械智能排产系统，用于智能制造场景。
CN201500000044,2015,2015,2015,Yangzhou智造科技有限公司,2,JiangsuYangzhou高新区,CN,Jiangsu,Yangzhou,,2015年机器视觉缺陷检测系统,发明,H01L21/66,H01L21/66,本发明涉及机器视觉缺陷检测系统，用于智能制造场景。
CN201500000045,2015,2015,2015,Zhenjiang智造科技有限公司,2,JiangsuZhenjiang高新区,CN,Jiangsu,Zhenjiang,,2015年工业机器人焊接产线控制,发明,B25J9/16,B25J9/16,本发明涉及工业机器人焊接产线控制，用于智能制造场景。
CN201500000046,2015,2015,2015,Huzhou智造科技有限公司,2,ZhejiangHuzhou高新区,CN,Zhejiang,Huzhou,,2015年预测性维护设备健康管理平台,发明,G05B19/418,G05B19/418,本发明涉及预测性维护设备健康管理平台，用于智能制造场景。
CN201500000047,2015,2015,2015,Jinhua智造科技有限公司,2,ZhejiangJinhua高新区,CN,Zhejiang,Jinhua,,2015年数字孪生生产线仿真优化,发明,G06F30/20,G06F30/20,本发明涉及数字孪生生产线仿真优化，用于智能制造场景。
CN201500000048,2015,2015,2015,Taizhou智造科技有限公司,2,ZhejiangTaizhou高新区,CN,Zhejiang,Taizhou,,2015年智能质检良率分析系统,发明,G01N21/88,G01N21/88,本发明涉及智能质检良率分析系统，用于智能制造场景。
CN201500000049,2015,2015,2015,Quanzhou智造科技有限公司,2,FujianQuanzhou高新区,CN,Fujian,Quanzhou,,2015年智能排产调度优化方法,发明,G06Q10/06,G06Q10/06,本发明涉及智能排产调度优化方法，用于智能制造场景。
CN201500000050,2015,2015,2015,Zhongshan智造科技有限公司,2,GuangdongZhongshan高新区,CN,Guangdong,Zhongshan,,2015年化工过程参数闭环控制,发明,G05D1/02,G05D1/02,本发明涉及化工过程参数闭环控制，用于智能制造场景。
CN201500000051,2015,2015,2015,Huizhou智造科技有限公司,2,GuangdongHuizhou高新区,CN,Guangdong,Huizhou,,2015年智能仓储路径优化系统,发明,G06Q10/08,G06Q10/08,本发明涉及智能仓储路径优化系统，用于智能制造场景。
CN201500000052,2015,2015,2015,Jiangmen智造科技有限公司,2,GuangdongJiangmen高新区,CN,Guangdong,Jiangmen,,2015年工业互联网MES平台,发明,G06F8/30,G06F8/30,本发明涉及工业互联网MES平台，用于智能制造场景。
CN201500000053,2015,2015,2015,Zhaoqing智造科技有限公司,2,GuangdongZhaoqing高新区,CN,Guangdong,Zhaoqing,,2015年半导体晶圆量测方法,发明,H01L21/672,H01L21/672,本发明涉及半导体晶圆量测方法，用于智能制造场景。
CN201500000054,2015,2015,2015,Maanshan智造科技有限公司,2,AnhuiMaanshan高新区,CN,Anhui,Maanshan,,2015年锂电池极片缺陷检测,发明,H01M10/058,H01M10/058,本发明涉及锂电池极片缺陷检测，用于智能制造场景。
CN201500000055,2015,2015,2015,Wuhu智造科技有限公司,2,AnhuiWuhu高新区,CN,Anhui,Wuhu,,2015年反应釜工艺参数优化,发明,C07C1/00,C07C1/00,本发明涉及反应釜工艺参数优化，用于智能制造场景。
CN201500000056,2015,2015,2015,Bengbu智造科技有限公司,2,AnhuiBengbu高新区,CN,Anhui,Bengbu,,2015年汽车整车机器视觉检测平台,发明,B60W30/00,B60W30/00,本发明涉及汽车整车机器视觉检测平台，用于智能制造场景。
CN201600000057,2016,2016,2016,Beijing智造科技有限公司,2,BeijingBeijing高新区,CN,Beijing,Beijing,,2016年船舶数字孪生智能制造系统,发明,B63B65/00,B63B65/00,本发明涉及船舶数字孪生智能制造系统，用于智能制造场景。
CN201600000058,2016,2016,2016,Shanghai智造科技有限公司,2,ShanghaiShanghai高新区,CN,Shanghai,Shanghai,,2016年制药智能质检包装线,发明,A61J1/00,A61J1/00,本发明涉及制药智能质检包装线，用于智能制造场景。
CN201600000059,2016,2016,2016,Shenzhen智造科技有限公司,2,GuangdongShenzhen高新区,CN,Guangdong,Shenzhen,,2016年钢铁冶炼过程控制优化,发明,C21B7/00,C21B7/00,本发明涉及钢铁冶炼过程控制优化，用于智能制造场景。
CN201600000060,2016,2016,2016,Hangzhou智造科技有限公司,2,ZhejiangHangzhou高新区,CN,Zhejiang,Hangzhou,,2016年纺织智能排产调度系统,发明,D03D47/00,D03D47/00,本发明涉及纺织智能排产调度系统，用于智能制造场景。
CN201600000061,2016,2016,2016,Suzhou智造科技有限公司,2,JiangsuSuzhou高新区,CN,Jiangsu,Suzhou,,2016年食品灌装机器视觉检测,发明,A23L5/00,A23L5/00,本发明涉及食品灌装机器视觉检测，用于智能制造场景。
CN201600000062,2016,2016,2016,Nanjing智造科技有限公司,2,JiangsuNanjing高新区,CN,Jiangsu,Nanjing,,2016年光伏组件机器视觉检测,发明,H02S50/00,H02S50/00,本发明涉及光伏组件机器视觉检测，用于智能制造场景。
CN201600000063,2016,2016,2016,Wuhan智造科技有限公司,2,HubeiWuhan高新区,CN,Hubei,Wuhan,,2016年包装机械工业机器人控制,发明,B65B57/20,B65B57/20,本发明涉及包装机械工业机器人控制，用于智能制造场景。
CN201600000064,2016,2016,2016,Chengdu智造科技有限公司,2,SichuanChengdu高新区,CN,Sichuan,Chengdu,,2016年电机预测性维护平台,发明,H02K11/00,H02K11/00,本发明涉及电机预测性维护平台，用于智能制造场景。
CN201600000065,2016,2016,2016,Chongqing智造科技有限公司,2,ChongqingChongqing高新区,CN,Chongqing,Chongqing,,2016年工程机械智能排产系统,发明,F15B11/00,F15B11/00,本发明涉及工程机械智能排产系统，用于智能制造场景。
CN201600000066,2016,2016,2016,Xi'an智造科技有限公司,2,ShaanxiXi'an高新区,CN,Shaanxi,Xi'an,,2016年机器视觉缺陷检测系统,发明,H01L21/66,H01L21/66,本发明涉及机器视觉缺陷检测系统，用于智能制造场景。
CN201600000067,2016,2016,2016,Hefei智造科技有限公司,2,AnhuiHefei高新区,CN,Anhui,Hefei,,2016年工业机器人焊接产线控制,发明,B25J9/16,B25J9/16,本发明涉及工业机器人焊接产线控制，用于智能制造场景。
CN201600000068,2016,2016,2016,Jinan智造科技有限公司,2,ShandongJinan高新区,CN,Shandong,Jinan,,2016年预测性维护设备健康管理平台,发明,G05B19/418,G05B19/418,本发明涉及预测性维护设备健康管理平台，用于智能制造场景。
CN201600000069,2016,2016,2016,Qingdao智造科技有限公司,2,ShandongQingdao高新区,CN,Shandong,Qingdao,,2016年数字孪生生产线仿真优化,发明,G06F30/20,G06F30/20,本发明涉及数字孪生生产线仿真优化，用于智能制造场景。
CN201600000070,2016,2016,2016,Ningbo智造科技有限公司,2,ZhejiangNingbo高新区,CN,Zhejiang,Ningbo,,2016年智能质检良率分析系统,发明,G01N21/88,G01N21/88,本发明涉及智能质检良率分析系统，用于智能制造场景。
CN201600000071,2016,2016,2016,Wuxi智造科技有限公司,2,JiangsuWuxi高新区,CN,Jiangsu,Wuxi,,2016年智能排产调度优化方法,发明,G06Q10/06,G06Q10/06,本发明涉及智能排产调度优化方法，用于智能制造场景。
CN201600000072,2016,2016,2016,Changsha智造科技有限公司,2,HunanChangsha高新区,CN,Hunan,Changsha,,2016年化工过程参数闭环控制,发明,G05D1/02,G05D1/02,本发明涉及化工过程参数闭环控制，用于智能制造场景。
CN201600000073,2016,2016,2016,Zhengzhou智造科技有限公司,2,HenanZhengzhou高新区,CN,Henan,Zhengzhou,,2016年智能仓储路径优化系统,发明,G06Q10/08,G06Q10/08,本发明涉及智能仓储路径优化系统，用于智能制造场景。
CN201600000074,2016,2016,2016,Fuzhou智造科技有限公司,2,FujianFuzhou高新区,CN,Fujian,Fuzhou,,2016年工业互联网MES平台,发明,G06F8/30,G06F8/30,本发明涉及工业互联网MES平台，用于智能制造场景。
CN201600000075,2016,2016,2016,Xiamen智造科技有限公司,2,FujianXiamen高新区,CN,Fujian,Xiamen,,2016年半导体晶圆量测方法,发明,H01L21/672,H01L21/672,本发明涉及半导体晶圆量测方法，用于智能制造场景。
CN201600000076,2016,2016,2016,Kunming智造科技有限公司,2,YunnanKunming高新区,CN,Yunnan,Kunming,,2016年锂电池极片缺陷检测,发明,H01M10/058,H01M10/058,本发明涉及锂电池极片缺陷检测，用于智能制造场景。
CN201600000077,2016,2016,2016,Guiyang智造科技有限公司,2,GuizhouGuiyang高新区,CN,Guizhou,Guiyang,,2016年反应釜工艺参数优化,发明,C07C1/00,C07C1/00,本发明涉及反应釜工艺参数优化，用于智能制造场景。
CN201600000078,2016,2016,2016,Nanchang智造科技有限公司,2,JiangxiNanchang高新区,CN,Jiangxi,Nanchang,,2016年汽车整车机器视觉检测平台,发明,B60W30/00,B60W30/00,本发明涉及汽车整车机器视觉检测平台，用于智能制造场景。
CN201600000079,2016,2016,2016,Shijiazhuang智造科技有限公司,2,HebeiShijiazhuang高新区,CN,Hebei,Shijiazhuang,,2016年船舶数字孪生智能制造系统,发明,B63B65/00,B63B65/00,本发明涉及船舶数字孪生智能制造系统，用于智能制造场景。
CN201600000080,2016,2016,2016,Taiyuan智造科技有限公司,2,ShanxiTaiyuan高新区,CN,Shanxi,Taiyuan,,2016年制药智能质检包装线,发明,A61J1/00,A61J1/00,本发明涉及制药智能质检包装线，用于智能制造场景。
CN201600000081,2016,2016,2016,Hohhot智造科技有限公司,2,Inner MongoliaHohhot高新区,CN,Inner Mongolia,Hohhot,,2016年钢铁冶炼过程控制优化,发明,C21B7/00,C21B7/00,本发明涉及钢铁冶炼过程控制优化，用于智能制造场景。
CN201600000082,2016,2016,2016,Harbin智造科技有限公司,2,HeilongjiangHarbin高新区,CN,Heilongjiang,Harbin,,2016年纺织智能排产调度系统,发明,D03D47/00,D03D47/00,本发明涉及纺织智能排产调度系统，用于智能制造场景。
CN201600000083,2016,2016,2016,Changchun智造科技有限公司,2,JilinChangchun高新区,CN,Jilin,Changchun,,2016年食品灌装机器视觉检测,发明,A23L5/00,A23L5/00,本发明涉及食品灌装机器视觉检测，用于智能制造场景。
CN201600000084,2016,2016,2016,Dalian智造科技有限公司,2,LiaoningDalian高新区,CN,Liaoning,Dalian,,2016年光伏组件机器视觉检测,发明,H02S50/00,H02S50/00,本发明涉及光伏组件机器视觉检测，用于智能制造场景。
CN201600000085,2016,2016,2016,Shenyang智造科技有限公司,2,LiaoningShenyang高新区,CN,Liaoning,Shenyang,,2016年包装机械工业机器人控制,发明,B65B57/20,B65B57/20,本发明涉及包装机械工业机器人控制，用于智能制造场景。
CN201600000086,2016,2016,2016,Tianjin智造科技有限公司,2,TianjinTianjin高新区,CN,Tianjin,Tianjin,,2016年电机预测性维护平台,发明,H02K11/00,H02K11/00,本发明涉及电机预测性维护平台，用于智能制造场景。
CN201600000087,2016,2016,2016,Guangzhou智造科技有限公司,2,GuangdongGuangzhou高新区,CN,Guangdong,Guangzhou,,2016年工程机械智能排产系统,发明,F15B11/00,F15B11/00,本发明涉及工程机械智能排产系统，用于智能制造场景。
CN201600000088,2016,2016,2016,Dongguan智造科技有限公司,2,GuangdongDongguan高新区,CN,Guangdong,Dongguan,,2016年机器视觉缺陷检测系统,发明,H01L21/66,H01L21/66,本发明涉及机器视觉缺陷检测系统，用于智能制造场景。
CN201600000089,2016,2016,2016,Foshan智造科技有限公司,2,GuangdongFoshan高新区,CN,Guangdong,Foshan,,2016年工业机器人焊接产线控制,发明,B25J9/16,B25J9/16,本发明涉及工业机器人焊接产线控制，用于智能制造场景。
CN201600000090,2016,2016,2016,Zhuhai智造科技有限公司,2,GuangdongZhuhai高新区,CN,Guangdong,Zhuhai,,2016年预测性维护设备健康管理平台,发明,G05B19/418,G05B19/418,本发明涉及预测性维护设备健康管理平台，用于智能制造场景。
CN201600000091,2016,2016,2016,Wenzhou智造科技有限公司,2,ZhejiangWenzhou高新区,CN,Zhejiang,Wenzhou,,2016年数字孪生生产线仿真优化,发明,G06F30/20,G06F30/20,本发明涉及数字孪生生产线仿真优化，用于智能制造场景。
CN201600000092,2016,2016,2016,Jiaxing智造科技有限公司,2,ZhejiangJiaxing高新区,CN,Zhejiang,Jiaxing,,2016年智能质检良率分析系统,发明,G01N21/88,G01N21/88,本发明涉及智能质检良率分析系统，用于智能制造场景。
